ID,Category,Clause_Name,Language,Keywords,Risk_Score,Impact_Level,Reason,Recommendation,Business_Impact,Contract_Type,Type,Legal_Reference
239,Detection,Security Audits,ID,"audit keamanan, uji penetrasi, asesmen kerentanan",0,High,Memungkinkan pelanggan melakukan audit keamanan pada sistem vendor untuk memverifikasi kepatuhan terhadap standar keamanan.,"Tentukan frekuensi (misal tahunan), ruang lingkup, masa pemberitahuan, dan bahwa vendor harus bekerja sama dan memperbaiki temuan.",Kerentanan yang tidak terdeteksi menyebabkan kebocoran data atau ketidakpatuhan terhadap peraturan.,SaaS Agreement; IT Service Agreement,Software,Pasal 1320 dan Pasal 1338 KUH Perdata tentang syarat sah perjanjian dan kebebasan berkontrak; prinsip umum hukum kontrak.
240,Detection,Security Audits,FR,"audits de sécurité, test d'intrusion, évaluation de vulnérabilité",0,High,Permet au client d'effectuer des audits de sécurité des systèmes du fournisseur pour vérifier la conformité.,"Spécifier la fréquence, la portée, le délai de préavis, et que le fournisseur doit coopérer et remédier aux constatations.",Vulnérabilités non détectées entraînant des violations de données ou une non-conformité.,SaaS Agreement; IT Service Agreement,Software,Pasal 1320 dan Pasal 1338 KUH Perdata tentang syarat sah perjanjian dan kebebasan berkontrak; prinsip umum hukum kontrak.
241,Detection,Ethical Sourcing,EN,"ethical sourcing, code of conduct, supply chain ethics",0,Medium,"Requires the counterparty to ensure that its supply chain does not involve child labor, forced labor, or environmental harm.","Adopt a supplier code of conduct, and require certifications or audits to demonstrate compliance.",Reputational damage and consumer boycotts due to unethical sourcing practices.,Commercial Agreement; SaaS Agreement,Software,Prinsip HAM dan kepatuhan rantai pasok; peraturan ketenagakerjaan dan HAM yang berlaku.
242,Detection,Ethical Sourcing,ID,"sumber etis, kode etik, etika rantai pasokan",0,Medium,"Mengharuskan pihak lawan memastikan rantai pasokannya tidak melibatkan pekerja anak, kerja paksa, atau kerusakan lingkungan.","Terapkan kode etik pemasok, dan minta sertifikasi atau audit untuk menunjukkan kepatuhan.",Kerusakan reputasi dan boikot konsumen karena praktik sumber yang tidak etis.,Commercial Agreement; SaaS Agreement,Software,Prinsip HAM dan kepatuhan rantai pasok; peraturan ketenagakerjaan dan HAM yang berlaku.
243,Detection,Ethical Sourcing,FR,"approvisionnement éthique, code de conduite, éthique de la chaîne d'approvisionnement",0,Medium,"Exige que la contrepartie garantisse que sa chaîne d'approvisionnement n'implique pas de travail des enfants, de travail forcé ou de dommages environnementaux.",Adopter un code de conduite des fournisseurs et exiger des certifications ou des audits.,Atteinte à la réputation et boycotts des consommateurs dus à des pratiques d'approvisionnement contraires à l'éthique.,Commercial Agreement; SaaS Agreement,Software,Prinsip HAM dan kepatuhan rantai pasok; peraturan ketenagakerjaan dan HAM yang berlaku.
244,Detection,Conflict of Interest,EN,"conflict of interest, disclosure, impartiality, personal gain",0,Medium,Requires parties to disclose any personal or financial interests that could influence their impartiality in the contract.,"Define what constitutes a conflict, require disclosure, and give the other party a right to terminate if undisclosed.","Undisclosed conflicts leading to biased decisions, fraud, or loss of trust.",Loan Agreement; Consulting Agreement,General Commercial,KUH Perdata tentang perikatan dan pembayaran (termasuk Pasal 1234 dan seterusnya); regulasi sektor terkait jika berlaku.
245,Detection,Conflict of Interest,ID,"benturan kepentingan, pengungkapan, ketidakberpihakan, keuntungan pribadi",0,Medium,Mengharuskan pihak untuk mengungkapkan setiap kepentingan pribadi atau finansial yang dapat memengaruhi ketidakberpihakan mereka dalam kontrak.,"Tentukan apa yang dimaksud dengan benturan, wajibkan pengungkapan, dan beri pihak lain hak untuk mengakhiri jika tidak diungkapkan.","Benturan yang tidak diungkapkan menyebabkan keputusan bias, penipuan, atau hilangnya kepercayaan.",Loan Agreement; Consulting Agreement,General Commercial,KUH Perdata tentang perikatan dan pembayaran (termasuk Pasal 1234 dan seterusnya); regulasi sektor terkait jika berlaku.
246,Detection,Conflict of Interest,FR,"conflit d'intérêts, divulgation, impartialité",0,Medium,Exige que les parties divulguent tout intérêt personnel ou financier susceptible d'affecter leur impartialité.,"Définir ce qui constitue un conflit, exiger la divulgation et donner à l'autre partie un droit de résiliation.","Conflits non divulgués entraînant des décisions biaisées, une fraude ou une perte de confiance.",Loan Agreement; Consulting Agreement,General Commercial,KUH Perdata tentang perikatan dan pembayaran (termasuk Pasal 1234 dan seterusnya); regulasi sektor terkait jika berlaku.
247,Detection,Gift Policy,EN,"gifts, hospitality, entertainment, thresholds, reporting",0,Medium,"Sets limits on gifts, hospitality, or entertainment that can be offered or accepted, preventing bribery.","Define monetary thresholds, require reporting of gifts above a certain value, and prohibit cash or equivalent.","Violation of anti-bribery laws, disciplinary actions, and criminal liability.",Commercial Agreement; SaaS Agreement,Software,Pasal 1320 dan Pasal 1338 KUH Perdata tentang syarat sah perjanjian dan kebebasan berkontrak; prinsip umum hukum kontrak.
248,Detection,Gift Policy,ID,"kebijakan hadiah, keramahtamahan, hiburan, ambang batas, pelaporan",0,Medium,"Menetapkan batasan pada hadiah, keramahtamahan, atau hiburan yang dapat ditawarkan atau diterima, mencegah suap.","Tentukan ambang batas moneter, wajibkan pelaporan hadiah di atas nilai tertentu, dan larang uang tunai atau setara.","Pelanggaran undang-undang anti-penyuapan, tindakan disipliner, dan tanggung jawab pidana.",Commercial Agreement; SaaS Agreement,Software,Pasal 1320 dan Pasal 1338 KUH Perdata tentang syarat sah perjanjian dan kebebasan berkontrak; prinsip umum hukum kontrak.
249,Detection,Gift Policy,FR,"politique de cadeaux, hospitalité, divertissement, seuils",0,Medium,"Fixe des limites aux cadeaux, à l'hospitalité ou aux divertissements, empêchant la corruption.","Définir les seuils monétaires, exiger la déclaration des cadeaux dépassant une certaine valeur et interdire les espèces.","Violation des lois anti-corruption, mesures disciplinaires et responsabilité pénale.",Commercial Agreement; SaaS Agreement,Software,Pasal 1320 dan Pasal 1338 KUH Perdata tentang syarat sah perjanjian dan kebebasan berkontrak; prinsip umum hukum kontrak.
250,Detection,Lobbying Disclosure,EN,"lobbying, government relations, advocacy, disclosure",0,Low,Requires parties to disclose lobbying activities or interactions with government officials related to the contract.,"Specify reporting requirements for any government lobbying, ensuring compliance with transparency laws.","Legal penalties for undisclosed lobbying, debarment from public contracts, and loss of reputation.",Commercial Agreement; SaaS Agreement,Software,Pasal 1320 dan Pasal 1338 KUH Perdata tentang syarat sah perjanjian dan kebebasan berkontrak; prinsip umum hukum kontrak.
251,Detection,Lobbying Disclosure,ID,"pengungkapan lobi, hubungan pemerintah, advokasi, pengungkapan",0,Low,Mengharuskan pihak untuk mengungkapkan kegiatan lobi atau interaksi dengan pejabat pemerintah terkait kontrak.,"Tentukan persyaratan pelaporan untuk setiap lobi pemerintah, memastikan kepatuhan terhadap undang-undang transparansi.","Sanksi hukum untuk lobi yang tidak diungkapkan, larangan dari kontrak publik, dan hilangnya reputasi.",Commercial Agreement; SaaS Agreement,Software,Pasal 1320 dan Pasal 1338 KUH Perdata tentang syarat sah perjanjian dan kebebasan berkontrak; prinsip umum hukum kontrak.
252,Detection,Lobbying Disclosure,FR,"divulgation de lobbying, relations gouvernementales",0,Low,Exige que les parties divulguent les activités de lobbying ou les interactions avec les représentants du gouvernement.,"Spécifier les exigences de déclaration, garantissant la conformité aux lois sur la transparence.","Sanctions légales pour lobbying non divulgué, exclusion des marchés publics et perte de réputation.",Commercial Agreement; SaaS Agreement,Software,Pasal 1320 dan Pasal 1338 KUH Perdata tentang syarat sah perjanjian dan kebebasan berkontrak; prinsip umum hukum kontrak.
253,Detection,Carbon Offset,EN,"carbon offset, emission reduction, sustainability goals",0,Low,"Commits the parties to measure and offset greenhouse gas emissions, supporting ESG targets.","Define reporting standards, offset verification requirements, and penalties for non-compliance.","Failure to meet corporate sustainability commitments, negative public perception.",Commercial Agreement; SaaS Agreement,Software,UU No. 32 Tahun 2009 tentang Perlindungan dan Pengelolaan Lingkungan Hidup.
254,Detection,Carbon Offset,ID,"imbangan karbon, reduksi emisi, target keberlanjutan",0,Low,"Mengikat pihak untuk mengukur dan mengimbangi emisi gas rumah kaca, mendukung target ESG.","Tentukan standar pelaporan, persyaratan verifikasi offset, dan sanksi untuk ketidakpatuhan.","Kegagalan memenuhi komitmen keberlanjutan perusahaan, persepsi publik negatif.",Commercial Agreement; SaaS Agreement,Software,UU No. 32 Tahun 2009 tentang Perlindungan dan Pengelolaan Lingkungan Hidup.
255,Detection,Carbon Offset,FR,"compensation carbone, réduction des émissions, objectifs de durabilité",0,Low,"Engage les parties à mesurer et compenser les émissions de gaz à effet de serre, soutenant les objectifs ESG.","Définir les normes de reporting, les exigences de vérification et les pénalités en cas de non-conformité.","Non-respect des engagements de durabilité, perception publique négative.",Commercial Agreement; SaaS Agreement,Software,UU No. 32 Tahun 2009 tentang Perlindungan dan Pengelolaan Lingkungan Hidup.
256,Detection,Waste Management,EN,"waste management, recycling, disposal, hazardous materials",0,Medium,"Requires proper handling, recycling, or disposal of waste generated during the contract, complying with environmental laws.","Specify waste categories, disposal methods, and record-keeping for hazardous waste.","Fines for illegal dumping, soil contamination, and liability for cleanup costs.",Commercial Agreement; SaaS Agreement,Software,Pasal 1320 dan Pasal 1338 KUH Perdata tentang syarat sah perjanjian dan kebebasan berkontrak; prinsip umum hukum kontrak.
257,Detection,Waste Management,ID,"pengelolaan limbah, daur ulang, pembuangan, bahan berbahaya",0,Medium,"Mengharuskan penanganan, daur ulang, atau pembuangan limbah yang dihasilkan selama kontrak secara tepat, mematuhi undang-undang lingkungan.","Tentukan kategori limbah, metode pembuangan, dan pencatatan untuk limbah berbahaya.","Denda untuk pembuangan ilegal, kontaminasi tanah, dan tanggung jawab biaya pembersihan.",Commercial Agreement; SaaS Agreement,Software,Pasal 1320 dan Pasal 1338 KUH Perdata tentang syarat sah perjanjian dan kebebasan berkontrak; prinsip umum hukum kontrak.
258,Detection,Waste Management,FR,"gestion des déchets, recyclage, élimination, matières dangereuses",0,Medium,"Exige une manipulation, un recyclage ou une élimination appropriés des déchets produits pendant le contrat.","Spécifier les catégories de déchets, les méthodes d'élimination et la tenue de registres.","Amendes pour décharge illégale, contamination des sols et responsabilité pour les coûts de nettoyage.",Commercial Agreement; SaaS Agreement,Software,Pasal 1320 dan Pasal 1338 KUH Perdata tentang syarat sah perjanjian dan kebebasan berkontrak; prinsip umum hukum kontrak.
259,Detection,Diversity and Inclusion,EN,"diversity, inclusion, equal opportunity, discrimination",0,Low,Commits the parties to promote diversity and prevent discrimination in hiring and workplace practices.,Include a non-discrimination clause and require the counterparty to have a diversity policy.,"Lawsuits for discrimination, loss of public funding, and damage to employer brand.",Commercial Agreement; SaaS Agreement,Software,Pasal 1320 dan Pasal 1338 KUH Perdata tentang syarat sah perjanjian dan kebebasan berkontrak; prinsip umum hukum kontrak.
260,Detection,Diversity and Inclusion,ID,"keragaman dan inklusi, kesempatan setara, diskriminasi",0,Low,Mengikat pihak untuk mempromosikan keragaman dan mencegah diskriminasi dalam perekrutan dan praktik tempat kerja.,Sertakan klausul non-diskriminasi dan wajibkan pihak lawan memiliki kebijakan keragaman.,"Gugatan diskriminasi, hilangnya pendanaan publik, dan kerusakan merek pemberi kerja.",Commercial Agreement; SaaS Agreement,Software,Pasal 1320 dan Pasal 1338 KUH Perdata tentang syarat sah perjanjian dan kebebasan berkontrak; prinsip umum hukum kontrak.
261,Detection,Diversity and Inclusion,FR,"diversité et inclusion, égalité des chances, discrimination",0,Low,Engage les parties à promouvoir la diversité et à prévenir la discrimination dans l'embauche et les pratiques de travail.,Inclure une clause de non-discrimination et exiger que la contrepartie ait une politique de diversité.,"Poursuites pour discrimination, perte de financement public et atteinte à la marque employeur.",Commercial Agreement; SaaS Agreement,Software,Pasal 1320 dan Pasal 1338 KUH Perdata tentang syarat sah perjanjian dan kebebasan berkontrak; prinsip umum hukum kontrak.
262,Detection,Employee Training,EN,"training, upskilling, workshops, onboarding",0,Medium,Requires the counterparty to provide adequate training to its personnel involved in the contract.,"Specify the number of training hours, content, and who bears the cost.","Poorly trained staff leading to low performance, safety incidents, or non-compliance.",Employment Contract,Employment,UU No. 13 Tahun 2003 tentang Ketenagakerjaan sebagaimana diubah melalui UU No. 6 Tahun 2023; peraturan ketenagakerjaan terkait.
263,Detection,Employee Training,ID,"pelatihan karyawan, peningkatan keterampilan, lokakarya, onboarding",0,Medium,Mengharuskan pihak lawan memberikan pelatihan yang memadai kepada personelnya yang terlibat dalam kontrak.,"Tentukan jumlah jam pelatihan, konten, dan siapa yang menanggung biaya.","Staf yang kurang terlatih menyebabkan kinerja rendah, insiden keselamatan, atau ketidakpatuhan.",Employment Contract,Employment,UU No. 13 Tahun 2003 tentang Ketenagakerjaan sebagaimana diubah melalui UU No. 6 Tahun 2023; peraturan ketenagakerjaan terkait.
264,Detection,Employee Training,FR,"formation des employés, perfectionnement, ateliers",0,Medium,Exige que la contrepartie fournisse une formation adéquate à son personnel impliqué dans le contrat.,"Spécifier le nombre d'heures de formation, le contenu et la charge des coûts.","Personnel mal formé entraînant de faibles performances, des incidents de sécurité ou une non-conformité.",Employment Contract,Employment,UU No. 13 Tahun 2003 tentang Ketenagakerjaan sebagaimana diubah melalui UU No. 6 Tahun 2023; peraturan ketenagakerjaan terkait.
265,Detection,Remote Work Policy,EN,"remote work, telecommuting, home office, work from anywhere",0,Medium,"Governs the conditions under which employees or contractors can work remotely, including data security and equipment.","Define security requirements (VPN, encryption), expense reimbursement, and employer's right to inspect home office.","Data breaches via unsecured home networks, lower productivity, and disputes over expenses.",Commercial Agreement; SaaS Agreement,Software,Pasal 1320 dan Pasal 1338 KUH Perdata tentang syarat sah perjanjian dan kebebasan berkontrak; prinsip umum hukum kontrak.
266,Detection,Remote Work Policy,ID,"kebijakan kerja jarak jauh, telecommuting, kantor rumah",0,Medium,"Mengatur kondisi di mana karyawan atau kontraktor dapat bekerja jarak jauh, termasuk keamanan data dan peralatan.","Tentukan persyaratan keamanan (VPN, enkripsi), penggantian biaya, dan hak pemberi kerja untuk memeriksa kantor rumah.","Kebocoran data melalui jaringan rumah yang tidak aman, produktivitas lebih rendah, dan sengketa biaya.",Commercial Agreement; SaaS Agreement,Software,Pasal 1320 dan Pasal 1338 KUH Perdata tentang syarat sah perjanjian dan kebebasan berkontrak; prinsip umum hukum kontrak.
267,Detection,Remote Work Policy,FR,"politique de télétravail, travail à domicile",0,Medium,Régit les conditions dans lesquelles les employés ou prestataires peuvent travailler à distance.,"Définir les exigences de sécurité (VPN, cryptage), le remboursement des frais et le droit de l'employeur d'inspecter le domicile.","Violations de données via des réseaux domestiques non sécurisés, baisse de productivité et litiges sur les frais.",Commercial Agreement; SaaS Agreement,Software,Pasal 1320 dan Pasal 1338 KUH Perdata tentang syarat sah perjanjian dan kebebasan berkontrak; prinsip umum hukum kontrak.
268,Detection,Expenses Reimbursement,EN,"reimbursement, travel expenses, out-of-pocket, per diem",0,Low,"Defines how and when the counterparty will reimburse travel, accommodation, or other out-of-pocket expenses.","Specify a per diem rate, require receipts, and set a pre-approval process for large expenses.","Disputes over unauthorized expenses, overspending, and delayed reimbursements causing friction.",Commercial Agreement; SaaS Agreement,Software,Pasal 1320 dan Pasal 1338 KUH Perdata tentang syarat sah perjanjian dan kebebasan berkontrak; prinsip umum hukum kontrak.
269,Detection,Expenses Reimbursement,ID,"reimburse biaya, biaya perjalanan, pengeluaran pribadi, per diem",0,Low,"Mendefinisikan bagaimana dan kapan pihak lawan akan mengganti biaya perjalanan, akomodasi, atau pengeluaran pribadi lainnya.","Tentukan tarif per diem, minta tanda terima, dan tetapkan proses pra-persetujuan untuk pengeluaran besar.","Sengketa atas pengeluaran tidak sah, pengeluaran berlebihan, dan keterlambatan penggantian yang menyebabkan gesekan.",Commercial Agreement; SaaS Agreement,Software,Pasal 1320 dan Pasal 1338 KUH Perdata tentang syarat sah perjanjian dan kebebasan berkontrak; prinsip umum hukum kontrak.
270,Detection,Expenses Reimbursement,FR,"remboursement des frais, frais de déplacement, débours",0,Low,Définit comment et quand la contrepartie remboursera les frais de déplacement ou autres dépenses.,"Spécifier un taux par diem, exiger des reçus et définir un processus de pré-approbation.","Litiges sur les dépenses non autorisées, dépassements et retards de remboursement.",Commercial Agreement; SaaS Agreement,Software,Pasal 1320 dan Pasal 1338 KUH Perdata tentang syarat sah perjanjian dan kebebasan berkontrak; prinsip umum hukum kontrak.
271,Detection,Currency Fluctuations,EN,"currency fluctuation, exchange rate, forex risk, hedging",0,High,Allocates the risk of currency exchange rate changes when payments are made in a foreign currency.,"Specify the reference exchange rate (e.g., central bank rate), and who bears the loss/gain beyond a threshold.",Unexpected payment shortfalls or windfalls due to volatile exchange rates.,All Contracts,Finance,KUH Perdata tentang perikatan dan pembayaran (termasuk Pasal 1234 dan seterusnya); regulasi sektor terkait jika berlaku.
272,Detection,Currency Fluctuations,ID,"fluktuasi mata uang, nilai tukar, risiko forex, hedging",0,High,Mengalokasikan risiko perubahan nilai tukar mata uang ketika pembayaran dilakukan dalam mata uang asing.,"Tentukan nilai tukar referensi (misal kurs bank sentral), dan siapa yang menanggung kerugian/keuntungan di luar ambang batas.",Kekurangan pembayaran tak terduga atau keuntungan tak terduga karena nilai tukar yang volatil.,All Contracts,Finance,KUH Perdata tentang perikatan dan pembayaran (termasuk Pasal 1234 dan seterusnya); regulasi sektor terkait jika berlaku.
273,Detection,Currency Fluctuations,FR,"fluctuations monétaires, taux de change, risque de change",0,High,Alloue le risque de variation des taux de change lorsque les paiements sont effectués en devise étrangère.,Spécifier le taux de change de référence et qui supporte la perte/gain au-delà d'un seuil.,Insuffisances ou surplus de paiement imprévus dus à la volatilité des taux.,All Contracts,Finance,KUH Perdata tentang perikatan dan pembayaran (termasuk Pasal 1234 dan seterusnya); regulasi sektor terkait jika berlaku.
274,Detection,Price Indexing,EN,"price indexing, adjustment, CPI, inflation link",0,Medium,Adjusts contract prices periodically based on an official inflation index to maintain real value.,"Specify the index (e.g., CPI), the adjustment formula, and the frequency of adjustment (e.g., annually).",Erosion of contract value due to inflation or disputes over price increases.,Commercial Agreement; SaaS Agreement,Software,Pasal 1320 dan Pasal 1338 KUH Perdata tentang syarat sah perjanjian dan kebebasan berkontrak; prinsip umum hukum kontrak.
275,Detection,Price Indexing,ID,"pengindeksan harga, penyesuaian, CPI, link inflasi",0,Medium,Menyesuaikan harga kontrak secara berkala berdasarkan indeks inflasi resmi untuk mempertahankan nilai riil.,"Tentukan indeks (misal IHK), rumus penyesuaian, dan frekuensi penyesuaian (misal tahunan).",Pengurangan nilai kontrak karena inflasi atau sengketa atas kenaikan harga.,Commercial Agreement; SaaS Agreement,Software,Pasal 1320 dan Pasal 1338 KUH Perdata tentang syarat sah perjanjian dan kebebasan berkontrak; prinsip umum hukum kontrak.
276,Detection,Price Indexing,FR,"indexation des prix, ajustement, IPC, lien avec l'inflation",0,Medium,Ajuste périodiquement les prix du contrat sur la base d'un indice d'inflation officiel.,"Spécifier l'indice, la formule d'ajustement et la fréquence (ex. annuelle).",Érosion de la valeur du contrat due à l'inflation ou litiges sur les hausses de prix.,Commercial Agreement; SaaS Agreement,Software,Pasal 1320 dan Pasal 1338 KUH Perdata tentang syarat sah perjanjian dan kebebasan berkontrak; prinsip umum hukum kontrak.
277,Detection,Third-Party Licenses,EN,"third-party license, sublicense, proprietary components",0,High,Ensures that the use of third-party software or components is properly licensed and does not infringe IP rights.,"Require disclosure of all third-party components and copies of licenses, and flow down obligations to sub-licensees.","Legal claims from third-party IP owners, and inability to use licensed software.",Software License Agreement,Software,Pasal 1320 dan Pasal 1338 KUH Perdata tentang syarat sah perjanjian dan kebebasan berkontrak; prinsip umum hukum kontrak.
278,Detection,Third-Party Licenses,ID,"lisensi pihak ketiga, sublisensi, komponen kepemilikan",0,High,Memastikan bahwa penggunaan perangkat lunak atau komponen pihak ketiga dilisensikan dengan benar dan tidak melanggar hak IP.,"Wajibkan pengungkapan semua komponen pihak ketiga dan salinan lisensi, serta menurunkan kewajiban kepada sub-lisensi.","Klaim hukum dari pemilik IP pihak ketiga, dan ketidakmampuan menggunakan perangkat lunak berlisensi.",Software License Agreement,Software,Pasal 1320 dan Pasal 1338 KUH Perdata tentang syarat sah perjanjian dan kebebasan berkontrak; prinsip umum hukum kontrak.
279,Detection,Third-Party Licenses,FR,"licences tierces, sous-licence, composants propriétaires",0,High,Garantit que l'utilisation de logiciels ou composants tiers est correctement autorisée.,Exiger la divulgation de tous les composants tiers et des copies des licences.,Réclamations légales de la part des propriétaires de PI tiers et incapacité à utiliser le logiciel.,Software License Agreement,Software,Pasal 1320 dan Pasal 1338 KUH Perdata tentang syarat sah perjanjian dan kebebasan berkontrak; prinsip umum hukum kontrak.
280,Detection,Open Source Compliance,EN,"open source, FOSS, GPL, MIT license, attribution",0,High,"Ensures compliance with open source license terms (attribution, copyleft) when incorporating open source code.","Require a list of all open source components and their licenses, and compliance with obligations (e.g., disclosing source code).",Violation of open source licenses forcing disclosure of proprietary code or leading to lawsuits.,All Contracts,Software,Pasal 1320 dan Pasal 1338 KUH Perdata tentang syarat sah perjanjian dan kebebasan berkontrak; prinsip umum hukum kontrak.
281,Detection,Open Source Compliance,ID,"kepatuhan open source, FOSS, GPL, lisensi MIT, atribusi",0,High,"Memastikan kepatuhan terhadap ketentuan lisensi open source (atribusi, copyleft) saat menggabungkan kode open source.","Wajibkan daftar semua komponen open source dan lisensinya, serta kepatuhan terhadap kewajiban (misal mengungkapkan kode sumber).",Pelanggaran lisensi open source memaksa pengungkapan kode kepemilikan atau menyebabkan tuntutan hukum.,All Contracts,General Commercial,Pasal 1320 dan Pasal 1338 KUH Perdata tentang syarat sah perjanjian dan kebebasan berkontrak; prinsip umum hukum kontrak.
282,Detection,Open Source Compliance,FR,"conformité open source, FOSS, GPL, licence MIT",0,High,Garantit le respect des conditions des licences open source lors de l'utilisation de code open source.,Exiger une liste de tous les composants open source et le respect des obligations.,Violation des licences open source forçant la divulgation du code propriétaire ou entraînant des poursuites.,All Contracts,General Commercial,Pasal 1320 dan Pasal 1338 KUH Perdata tentang syarat sah perjanjian dan kebebasan berkontrak; prinsip umum hukum kontrak.
283,Detection,Trademark Usage,EN,"trademark, brand usage, logo guidelines, styling",0,Low,"Controls how a party may use the other's trademarks or logos, preserving brand integrity.","Require prior written approval for any use, specify proper attribution, and prohibit misleading or derogatory use.","Brand dilution, unauthorized association, and loss of trademark protection.",Commercial Agreement; SaaS Agreement,Software,"Peraturan HKI yang relevan (UU Hak Cipta No. 28 Tahun 2014, UU Paten No. 13 Tahun 2016, UU Merek No. 20 Tahun 2016); Pasal 1338 KUH Perdata."
284,Detection,Trademark Usage,ID,"penggunaan merek dagang, penggunaan brand, panduan logo, gaya",0,Low,"Mengontrol bagaimana pihak dapat menggunakan merek dagang atau logo pihak lain, menjaga integritas merek.","Wajibkan persetujuan tertulis sebelumnya untuk penggunaan apa pun, tentukan atribusi yang tepat, dan larang penggunaan yang menyesatkan atau merendahkan.","Dilusi merek, asosiasi tidak sah, dan hilangnya perlindungan merek dagang.",Commercial Agreement; SaaS Agreement,Software,"Peraturan HKI yang relevan (UU Hak Cipta No. 28 Tahun 2014, UU Paten No. 13 Tahun 2016, UU Merek No. 20 Tahun 2016); Pasal 1338 KUH Perdata."
285,Detection,Trademark Usage,FR,"utilisation des marques, utilisation de la marque, directives de logo",0,Low,"Contrôle comment une partie peut utiliser les marques ou logos de l'autre, préservant l'intégrité de la marque.","Exiger une approbation écrite préalable, spécifier l'attribution appropriée et interdire toute utilisation trompeuse.","Dilution de la marque, association non autorisée et perte de protection.",Commercial Agreement; SaaS Agreement,Software,"Peraturan HKI yang relevan (UU Hak Cipta No. 28 Tahun 2014, UU Paten No. 13 Tahun 2016, UU Merek No. 20 Tahun 2016); Pasal 1338 KUH Perdata."
286,Detection,Domain Name Rights,EN,"domain name, URL, registration, DNS, ownership",0,Low,"Clarifies ownership and management of domain names related to the project, preventing loss of digital identity.","Specify who registers and pays for the domain, who owns it, and the transfer process upon termination.","Loss of critical domain names, website downtime, and brand hijacking.",Software License Agreement,Software,"Peraturan HKI yang relevan (UU Hak Cipta No. 28 Tahun 2014, UU Paten No. 13 Tahun 2016, UU Merek No. 20 Tahun 2016); Pasal 1338 KUH Perdata."
287,Detection,Domain Name Rights,ID,"hak nama domain, URL, registrasi, DNS, kepemilikan",0,Low,"Memperjelas kepemilikan dan pengelolaan nama domain terkait proyek, mencegah hilangnya identitas digital.","Tentukan siapa yang mendaftar dan membayar domain, siapa yang memilikinya, dan proses transfer saat pengakhiran.","Kehilangan nama domain kritis, waktu henti situs web, dan pembajakan merek.",Software License Agreement,Software,"Peraturan HKI yang relevan (UU Hak Cipta No. 28 Tahun 2014, UU Paten No. 13 Tahun 2016, UU Merek No. 20 Tahun 2016); Pasal 1338 KUH Perdata."
288,Detection,Domain Name Rights,FR,"droits sur les noms de domaine, URL, enregistrement",0,Low,"Clarifie la propriété et la gestion des noms de domaine liés au projet, évitant la perte d'identité numérique.","Spécifier qui enregistre et paie le domaine, qui le possède et le processus de transfert à la fin.","Perte de noms de domaine critiques, indisponibilité du site Web et détournement de marque.",Software License Agreement,Software,"Peraturan HKI yang relevan (UU Hak Cipta No. 28 Tahun 2014, UU Paten No. 13 Tahun 2016, UU Merek No. 20 Tahun 2016); Pasal 1338 KUH Perdata."
289,Detection,Social Media Policy,EN,"social media, online posting, disclosure, brand protection",0,Low,"Governs how employees or contractors may post about the project on social media, protecting confidential information.","Require approval for public posts mentioning the project, and prohibit sharing trade secrets or internal data.","Confidential leaks, brand damage from unprofessional posts, and legal liability.",Commercial Agreement; SaaS Agreement,Software,Pasal 1320 dan Pasal 1338 KUH Perdata tentang syarat sah perjanjian dan kebebasan berkontrak; prinsip umum hukum kontrak.
290,Detection,Social Media Policy,ID,"kebijakan media sosial, posting online, pengungkapan, perlindungan brand",0,Low,"Mengatur bagaimana karyawan atau kontraktor dapat memposting tentang proyek di media sosial, melindungi informasi rahasia.","Wajibkan persetujuan untuk posting publik yang menyebutkan proyek, dan larang berbagi rahasia dagang atau data internal.","Kebocoran rahasia, kerusakan merek dari posting tidak profesional, dan tanggung jawab hukum.",Commercial Agreement; SaaS Agreement,Software,Pasal 1320 dan Pasal 1338 KUH Perdata tentang syarat sah perjanjian dan kebebasan berkontrak; prinsip umum hukum kontrak.
291,Detection,Social Media Policy,FR,"politique de médias sociaux, publication en ligne",0,Low,Régit la manière dont les employés peuvent publier sur le projet sur les réseaux sociaux.,"Exiger une approbation pour les publications publiques mentionnant le projet, et interdire le partage de secrets commerciaux.","Fuites confidentielles, atteinte à la marque due à des publications non professionnelles.",Commercial Agreement; SaaS Agreement,Software,Pasal 1320 dan Pasal 1338 KUH Perdata tentang syarat sah perjanjian dan kebebasan berkontrak; prinsip umum hukum kontrak.
292,Detection,Crisis Management,EN,"crisis management, emergency response, communication plan",0,Medium,"Requires a pre-agreed plan to manage emergencies (cyberattacks, natural disasters, PR crises) with clear roles and communication.","Define the crisis team, communication channels, and steps to mitigate damage.","Chaotic response, contradictory statements, and exacerbated damage during a crisis.",Commercial Agreement; SaaS Agreement,Software,Pasal 1320 dan Pasal 1338 KUH Perdata tentang syarat sah perjanjian dan kebebasan berkontrak; prinsip umum hukum kontrak.
293,Detection,Crisis Management,ID,"manajemen krisis, respons darurat, rencana komunikasi",0,Medium,"Mengharuskan rencana yang telah disepakati untuk mengelola keadaan darurat (serangan siber, bencana alam, krisis PR) dengan peran dan komunikasi yang jelas.","Tentukan tim krisis, saluran komunikasi, dan langkah-langkah untuk mengurangi kerusakan.","Respons kacau, pernyataan kontradiktif, dan kerusakan yang diperparah selama krisis.",Commercial Agreement; SaaS Agreement,Software,Pasal 1320 dan Pasal 1338 KUH Perdata tentang syarat sah perjanjian dan kebebasan berkontrak; prinsip umum hukum kontrak.
